
# Shadowhide
is_city = yes
owner = B16
controller = B16
add_core = B16

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_gnoll
religion = earth

trade_goods = unknown
hre = no

597.1.1 = { 
    # Black Tooth Grin
	owner = P98
	controller = P98
	add_core = P98
    
	culture = culture_orc
	religion = fel 
}

# The Third War
617.1.1 = { 
    # Redridge
	owner = RRG
	controller = RRG
	remove_core = P98
    
	culture = culture_azerothian
	religion = arcane 
}

# Rise of the Qiraji
622.1.1 = { 
    # Shadowhide
	owner = B16
	controller = B16
	add_core = B16
	culture = culture_gnoll
	religion = earth
}

