# Orsis TolVir

graphical_culture = westerngfx

color = { 141 150 224 }

monarch_names = {
  "Huhotep" = 20
  "Husam" = 20
  "Tekbas" = 20
  "Tebter" = 20
  "Hurim" = 20
  "Ninjsam" = 20
  "Ammanris" = 20
  "Ammandun" = 20
  "Phaoahn" = 20
  "Huret" = 20
  "Phaohotep" = 20
  "Itsam" = 20
  "Atulsam" = 20
  "Ammanbas" = 20
  "Atulbas" = 20
  "Ammanahn" = 20
  "Tekter" = 20
  "Naris" = 20
  "Ninjahn" = 20
  "Anudun" = 20
  "Huahn" = 20
  "Menret" = 20
  "Phaobas" = 20
  "Tektep" = 20
  "Teksam" = 20
  "Hudun" = 20
  "Tahbas" = 20
  "Anuahn" = 20
  "Narim" = 20
  "Menesh" = 20
  "Tekrim" = 20
  "Tekhet" = 20
  "Atulesh" = 20
  "Itahn" = 20
  "Huris" = 20
  "Tebtep" = 20
  "Menvat" = 20
  "Ithotep" = 20
  "Anuvat" = 20
  "Mensam" = 20
  "Barim" = 20
  "Tahvat" = 20
  "Phaosam" = 20
  "Batep" = 20
  "Tahrim" = 20
  "Atulahn" = 20
  "Ithet" = 20
  "Ninjris" = 20
  "Phaodun" = 20
  "Anusam" = 20
  "Tahris" = 20
  "Ittep" = 20
  "Atulret" = 20
  "Baret" = 20
  "Tahsam" = 20
  "Mendun" = 20
  "Naret" = 20
  "Itbas" = 20
  "Anutep" = 20
  "Tekret" = 20
  "Ammanhotep" = 20
  "Badun" = 20
  "Phaotep" = 20
  "Atulhotep" = 20
  "Bavat" = 20
  "Tahahn" = 20
  "Ammanesh" = 20
  "Phaovat" = 20
  "Phaoesh" = 20
  "Hutep" = 20
  "Tekris" = 20
  "Baris" = 20
  "Atulvat" = 20
  "Mentep" = 20
  "Bahotep" = 20
  "Atuldun" = 20
  "Tebvat" = 20
  "Natep" = 20
  "Atultep" = 20
  "Tahret" = 20
  "Tebhet" = 20
  "Anuris" = 20
  "Tekhotep" = 20
  "Atulris" = 20
  "Tebret" = 20
  "Tebesh" = 20
  "Menhet" = 20
  "Huesh" = 20
  "Anuesh" = 20
  "Anubas" = 20
  "Tahhotep" = 20
  "Ninjter" = 20
  "Anuhet" = 20
  "Baesh" = 20
  "Itdun" = 20
  "Tebrim" = 20
  "Nadun" = 20
  "Itesh" = 20
  "Menter" = 20
  "Phaoris" = 20
  "Ammanhet" = 20
  "Itvat" = 20
  "Atulter" = 20
  "Ammanter" = 20
  "Tebris" = 20
  "Ninjrim" = 20
  "Tebsam" = 20
  "Nahet" = 20
  "Anuret" = 20
  "Bahet" = 20
  "Ninjdun" = 20
