# Zangar/Fungal Giants

graphical_culture = westerngfx

color = { 56 71 109 }

monarch_names = {
  "Fahruun" = 20
  "Fhnix" = 20
  "Quagruun" = 20
  "Quagfen" = 20
  "Gzhunshu" = 20
  "Hchmirran" = 20
  "Mutashu" = 20
  "Ba'ssn" = 20
  "Khn'haff" = 20
  "Fhcah" = 20
  "Gzhunfen" = 20
  "Quagmirran" = 20
  "Quagssn" = 20
  "Quagcah" = 20
  "Gzhun'uu" = 20
  "Hchspore" = 20
  "Msshifen" = 20
  "Fahmirran" = 20
  "Gscah" = 20
  "Khn'nix" = 20
  "Msshiruun" = 20
  "Fhssn" = 20
  "Quagwoor" = 20
  "Mymirran" = 20
  "Gsssn" = 20
  "Blubaruun" = 20
  "Fah'uu" = 20
  "Fahspore" = 20
  "Khn'fen" = 20
  "Fh'uu" = 20
  "Mutahaff" = 20
  "Hchnix" = 20
  "Mutanix" = 20
  "Fahhaff" = 20
  "Khn'ruun" = 20
  "Gzhunruun" = 20
  "Hchshu" = 20
  "Ba'haff" = 20
  "Khn'cah" = 20
  "Fhruun" = 20
  "Hchwoor" = 20
  "Gswoor" = 20
  "Fahshu" = 20
  "Hchhaff" = 20
  "Gsspore" = 20
  "Khn'spore" = 20
  "Myspore" = 20
  "Fahfen" = 20
  "Khn'ssn" = 20
  "Blubashu" = 20
  "T'tt" = 20
  "Quaghaff" = 20
  "Ba'tt" = 20
  "Msshi'fn" = 20
  "My'tt" = 20
  "T'ruun" = 20
  "Quag'fn" = 20
  "Msshihaff" = 20
  "Blubaspore" = 20
  "T'ssn" = 20
  "Msshimirran" = 20
  "Gzhunhaff" = 20
  "Hchssn" = 20
  "T'spore" = 20
  "T'fen" = 20
  "Gzhunmirran" = 20
  "Gshaff" = 20
  "Msshissn" = 20
  "Khn'shu" = 20
  "Mutassn" = 20
  "Hch'tt" = 20
  "T'mirran" = 20
  "Fhmirran" = 20
  "Blubanix" = 20
  "Msshishu" = 20
  "Gsruun" = 20
  "Gzhunnix" = 20
  "Msshispore" = 20
  "Msshinix" = 20
  "Khn'mirran" = 20
  "Fahwoor" = 20
  "My'uu" = 20
  "Ba'fen" = 20
  "Quagspore" = 20
  "Quag'uu" = 20
  "Gzhun'tt" = 20
  "Mynix" = 20
  "Gzhuncah" = 20
  "T'woor" = 20
  "Quag'tt" = 20
  "Ba'spore" = 20
  "T'shu" = 20
  "Khn'fn" = 20
  "Gs'tt" = 20
  "T'uu" = 20
